game_id,seed,depth,score,max_tile,moves,win,average_decision_time,total_time
1,1042,1,760,64,100,0,9.00662e-05,0.010894583
2,1043,1,2432,256,206,0,9.586798543689267e-05,0.023713875000000002
3,1044,1,1500,128,156,0,8.586083333333362e-05,0.016090667000000003
4,1045,1,2356,128,228,0,8.521712719298239e-05,0.023486083000000005
5,1046,1,924,64,109,0,9.003705504587051e-05,0.011934999999999987
6,1047,1,4584,256,347,0,0.00010561142939481262,0.043491874999999985
7,1048,1,7228,512,501,0,9.227605389221596e-05,0.055286417000000004
8,1049,1,1572,128,156,0,8.478498717948751e-05,0.01605558400000001
9,1050,1,7396,512,513,0,8.902002339181359e-05,0.054601541999999975
10,1051,1,1836,128,184,0,8.339948369565419e-05,0.018379833000000012
1,2042,2,1924,128,199,0,0.0007578766683417065,0.15422912500000002
2,2043,2,2020,128,187,0,0.0008540842299465265,0.16293937499999994
3,2044,2,7652,512,532,0,0.0006235267951127826,0.341366708
4,2045,2,2908,256,254,0,0.0007446294330708698,0.19366962499999996
5,2046,2,2848,256,230,0,0.0007775679695652148,0.1829879590000001
6,2047,2,2044,128,184,0,0.0006744304565217419,0.1273056669999999
7,2048,2,1984,256,163,0,0.0007899291840490933,0.13158316599999997
8,2049,2,1940,128,194,0,0.0007573816958762824,0.15035341700000004
9,2050,2,1396,128,144,0,0.0008240552847222175,0.12122479200000003
10,2051,2,3988,256,332,0,0.0007456417078313194,0.25335408300000006
1,3042,3,2508,128,220,0,0.0036124337499999913,0.7986860830000002
2,3043,3,5780,512,409,0,0.0028372660733496534,1.1678161660000002
3,3044,3,4612,256,340,0,0.003525057147058858,1.2045795830000001
4,3045,3,5136,256,400,0,0.0031489609474999835,1.2668841669999997
5,3046,3,3204,256,268,0,0.004241475750000008,1.141949416
6,3047,3,2108,128,199,0,0.0043803274824121274,0.8752837499999995
7,3048,3,4624,256,354,0,0.0034533374067796793,1.2288815
8,3049,3,4640,256,356,0,0.0039235797022471475,1.4035337080000012
9,3050,3,4636,256,356,0,0.0033949853342696915,1.2150831249999996
10,3051,3,5060,256,380,0,0.003315274097368439,1.266761958
1,4042,4,3884,256,311,0,0.044783471038585224,13.933692624999999
2,4043,4,2416,256,202,0,0.05558798308415809,11.232861834000001
3,4044,4,7464,512,506,0,0.0394656692173911,19.979656375000005
4,4045,4,5628,512,399,0,0.037969930982455956,15.157600165999995
5,4046,4,4072,256,311,0,0.03449624449517737,10.734611125
6,4047,4,3180,256,264,0,0.05212004200378809,13.764945749999995
7,4048,4,3180,256,264,0,0.04683389408712153,12.369399875
8,4049,4,7104,512,492,0,0.03314394856097586,16.316258875000003
9,4050,4,2464,128,227,0,0.04354060005286392,9.888108333999995
10,4051,4,2180,128,211,0,0.039366338706162386,8.310387915999996
